DRIVER_TYPE,CLIENT_DRIVER_ID,ID,DRIVER NAME,SUB DRIVER NAME,DFC,DFF,DEC,DHN,DCR,DTP,DFV,DDN,DEG,DZA,DCL,TFA,OneDole,AP,Purchasing,Financial Services,TOTAL,Comentarios,Column1
CLIENT,C-005001002,TenableTenable,Tenable,Tenable,0.004389059,0.070381691,0.1102751,0.241946861,0.180813543,0.022102046,0.206285759,0.012461792,0.040598793,0.027039737,0.08370562,0,0,0,0,0,1.000000001,,C-005001002
CLIENT,C-005001003,Trend Micro ClientsEPP,Trend Micro Clients,EPP,0.027511962,0.043745728,0.134825701,0.186090226,0.170369105,0.032809296,0.168147642,0.01948052,0.040157211,0.032638414,0.144224197,0,0,0,0,0,1.000000002,,C-005001003
CLIENT,C-005001004,Trend Micro ServerEPP,Trend Micro Server,EPP,0.037775531,0.113299521,0.099001924,0.095200155,0.038124778,0.060834754,0.192280293,0.021029593,0.200417537,0.06263048,0.079405436,0,0,0,0,0,1.000000002,,C-005001004
CLIENT,C-005001005,Trend Micro EDR & MSEPP,Trend Micro EDR & MS,EPP,0.028288498,0.04900813,0.132115293,0.179213533,0.160363571,0.034929687,0.169973505,0.019597722,0.05228242,0.034907598,0.139320045,0,0,0,0,0,1.000000002,,C-005001005
CLIENT,C-005001006,Trend MicroBlended,Trend Micro,Blended,0.031191997,0.06868446,0.121980972,0.153501304,0.122952484,0.042857912,0.17680048,0.020035945,0.097619056,0.043392164,0.120983226,0,0,0,0,0,1,,C-005001005
CLIENT,C-007001001,Desktop SupportTickets and Tasks,Desktop Support,Tickets and Tasks,0,0,0,0,0.375295508,0.624704492,0,0,0,0,0,0,0,0,0,0,1,,C-007001001
CLIENT,C-007002001,Service DeskTickets and Tasks,Service Desk,Tickets and Tasks,0.022266718,0.086340828,0.127014378,0.068054617,0.214730291,0.062240664,0.251302712,0.036548297,0.034980218,0.002484802,0.094036476,0,0,0,0,0,1.000000001,,C-007002001
CLIENT,C-009001001,DirectDFC,Direct,DFC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-009001001
CLIENT,C-009002001,DirectDFF,Direct,DFF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-009002001
CLIENT,C-009003001,DirectDEC,Direct,DEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-009003001
CLIENT,C-009004001,DirectDHN,Direct,DHN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-009004001
CLIENT,C-009005001,DirectDCR,Direct,DCR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,C-009005001
CLIENT,C-009006001,DirectDTP,Direct,DTP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,C-009006001
CLIENT,C-009007001,DirectDFV,Direct,DFV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,C-009007001
CLIENT,C-009008001,DirectDDN,Direct,DDN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,C-009008001
CLIENT,C-009009001,DirectDEG,Direct,DEG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,C-009009001
CLIENT,C-009010001,DirectDZA,Direct,DZA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,C-009010001
CLIENT,C-009011001,DirectDCL,Direct,DCL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,C-009011001
CLIENT,C-009012001,DirectTFA,Direct,TFA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,C-009012001
CLIENT,C-009013001,DirectOneDole,Direct,OneDole,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,C-009013001
CLIENT,C-009015001,DirectPurchasing,Direct,Purchasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,C-009015001
CLIENT,C-009016001,DirectFinancial,Direct,Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,C-009016001
CLIENT,C-009017001,DirectTFA/DCR,Direct,TFA/DCR,,,,,0.8,,,,,,,0.2,,,,,1,,C-009017001
CLIENT,C-009018001,DirectDFF/DTP,Direct,DFF/DTP,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,,C-009018001
CLIENT,C-009019001,DirectTFA/DCR 2,Direct,TFA/DCR 2,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,0,0,0,1,,C-009019001
CLIENT,C-009020001,DirectDCR/DTP 2,Direct,DCR/DTP 2,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,1,,C-009020001
CLIENT,C-009021001,DirectDCR/DHN/DTP,Direct,DCR/DHN/DTP,0,0,0,0.1,0.5,0.4,0,0,0,0,0,0,0,0,0,0,1,,C-009021001
